Date,Category,Open,High,Low,Close,Adj Close,Volume
26-12-2012,TCS,633.5,634.575012,627.650024,631.099976,520.705933,1435258
27-12-2012,TCS,632.450012,632.450012,623.825012,625.474976,516.064514,1994158
28-12-2012,TCS,627,636,625.375,633.75,522.892273,1501622
31-12-2012,TCS,630.5,632.799988,626,627.924988,518.086182,704170
01-01-2013,TCS,633.474976,633.950012,630,632.075012,521.510193,509580
02-01-2013,TCS,633.5,636.200012,627.775024,631.650024,521.159485,1880246
03-01-2013,TCS,632.5,642,629.974976,640.299988,528.296265,2635130
04-01-2013,TCS,642.5,650.5,640.450012,649.599976,535.969666,5228760
07-01-2013,TCS,650,652,645.125,647.424988,534.175232,1820752
08-01-2013,TCS,647.5,652.150024,647.150024,650.125,536.402954,2341870
09-01-2013,TCS,650.5,653.700012,636.575012,638.299988,526.64624,3135898
10-01-2013,TCS,639.950012,641.049988,627.650024,629.200012,519.138306,4522838
11-01-2013,TCS,645,661.25,645,653.174988,538.919373,7805006
14-01-2013,TCS,659.5,674.224976,653.674988,667.25,550.532288,5790224
15-01-2013,TCS,695,700,663.5,668.724976,551.74939,8262978
16-01-2013,TCS,668.450012,677.5,654.5,673.875,555.998352,4109492
17-01-2013,TCS,674.849976,685.900024,671.5,681,561.877075,3028544
18-01-2013,TCS,681.25,683.025024,669.025024,675.5,557.339233,1440470
21-01-2013,TCS,676.25,677.450012,663.549988,665,548.675842,1260038
22-01-2013,TCS,663,665.849976,654.049988,658.75,543.519104,1386630
23-01-2013,TCS,657.875,661.875,649.200012,655.974976,542.464661,1877654
24-01-2013,TCS,652.5,668.450012,652.5,664.275024,549.328491,3498470
25-01-2013,TCS,661.875,672.5,661.875,670.25,554.26947,1521100
28-01-2013,TCS,670.150024,674.974976,668.974976,672.525024,556.15094,2428154
29-01-2013,TCS,670.599976,678.275024,670.150024,672.474976,556.109558,1731804
30-01-2013,TCS,670.5,674.924988,667.900024,673.075012,556.605652,2279144
31-01-2013,TCS,674.424988,676.224976,663.200012,672.075012,555.778809,4313168
01-02-2013,TCS,672,676,671.075012,674.049988,557.411987,1484540
04-02-2013,TCS,674.5,683.900024,672.575012,678.174988,560.823181,2487304
05-02-2013,TCS,672.549988,682.5,672.549988,680.025024,562.353149,2161994
06-02-2013,TCS,681.25,687.950012,681,685.275024,566.694702,3573706
07-02-2013,TCS,680.5,695,680.5,693.575012,573.55835,2612782
08-02-2013,TCS,693,718.5,692.549988,711.299988,588.216125,6973618
11-02-2013,TCS,712,714.450012,706.125,707.349976,584.949707,2312126
12-02-2013,TCS,704.525024,707.5,700.924988,705.025024,583.027222,2225502
13-02-2013,TCS,704.900024,720.825012,702.549988,717.700012,593.508728,3822666
14-02-2013,TCS,715.049988,727.900024,714.5,723.849976,598.594543,2946958
15-02-2013,TCS,722,725.900024,715.325012,721.075012,596.299866,1820790
18-02-2013,TCS,720.049988,720.950012,710,712.674988,589.353088,952086
19-02-2013,TCS,710.799988,724.450012,706.349976,721.775024,596.878723,744294
20-02-2013,TCS,720.75,728.5,720.75,726.400024,600.703369,2261518
21-02-2013,TCS,720.349976,728.424988,720.349976,725.525024,599.979797,3849146
22-02-2013,TCS,725,732.025024,721.150024,727.549988,601.654358,1310694
25-02-2013,TCS,726.5,737.5,725.75,736.849976,609.345032,1730030
26-02-2013,TCS,733.5,749.974976,733,748.200012,618.731079,2853670
27-02-2013,TCS,747.625,751.525024,738.650024,741.599976,613.273132,2556682
28-02-2013,TCS,743.125,762.5,742.625,758.5,627.248779,4599424
01-03-2013,TCS,757.549988,758,749,750.924988,620.984558,2537326
04-03-2013,TCS,745.5,759.950012,745.5,756.599976,625.67749,3136076
05-03-2013,TCS,758.5,771.5,754.299988,770.075012,636.820862,3440054
